10000000,86
10000001,80
10000002,75
10000003,75
10000004,91
10000005,87
10000006,87
10000007,88
10000008,76
10000009,71
10000010,72
10000011,81
10000012,77
10000013,74
10000014,87
10000015,89
10000016,92
10000017,83
10000018,83
10000019,74
10000020,77
10000021,89
10000022,81
10000023,85
10000024,82
10000025,91
10000026,81
10000027,92
10000028,71
10000029,86
10000030,86
10000031,86
10000032,89
10000033,89
10000034,85
10000035,80
10000036,68
10000037,80
10000038,75
10000039,62
10000040,77
10000041,86
10000042,84
10000043,78
10000044,82
10000045,86
10000046,75
10000047,78
10000048,72
10000049,77
10000050,77
10000051,77
10000052,77
10000053,94
10000054,80
10000055,87
10000056,94
10000057,85
10000058,75
10000059,88
10000060,73
10000061,84
10000062,78
10000063,80
10000064,73
10000065,85
10000066,67
10000067,79
10000068,68
10000069,77
10000070,86
10000071,87
10000072,74
10000073,71
10000074,78
10000075,82
10000076,68
10000077,82
10000078,79
10000079,74
10000080,74
10000081,86
10000082,80
10000083,77
10000084,84
10000085,70
10000086,85
10000087,86
10000088,80
10000089,69
10000090,95
10000091,78
10000092,71
10000093,83
10000094,79
10000095,89
10000096,78
10000097,75
10000098,83
10000099,82
10000100,82
10000101,73
10000102,82
10000103,74
10000104,72
10000105,75
10000106,81
10000107,64
10000108,78
10000109,70
10000110,82
10000111,85
10000112,84
10000113,72
10000114,90
10000115,90
10000116,70
10000117,80
10000118,78
10000119,79
10000120,82
10000121,72
10000122,73
10000123,87
10000124,96
10000125,89
10000126,81
10000127,75
10000128,79
10000129,82
10000130,75
10000131,80
10000132,99
10000133,80
10000134,73
10000135,89
10000136,83
10000137,96
10000138,82
10000139,80
10000140,76
10000141,72
10000142,68
10000143,100
10000144,94
10000145,81
10000146,80
10000147,81
10000148,86
10000149,83
10000150,69
10000151,71
10000152,77
10000153,74
10000154,66
10000155,78
10000156,86
10000157,79
10000158,89
10000159,72
10000160,89
10000161,74
10000162,76
10000163,83
10000164,65
10000165,82
10000166,94
10000167,90
10000168,92
10000169,87
10000170,71
10000171,83
10000172,91
10000173,83
10000174,81
10000175,72
10000176,75
10000177,77
10000178,75
10000179,81
10000180,81
10000181,73
10000182,75
10000183,92
10000184,73
10000185,88
10000186,97
10000187,75
10000188,89
10000189,66
10000190,75
10000191,92
10000192,87
10000193,99
10000194,90
10000195,85
10000196,83
10000197,78
10000198,75
10000199,96
10000200,78
10000201,82
10000202,91
10000203,74
10000204,80
10000205,74
10000206,84
10000207,85
10000208,72
10000209,89
10000210,74
10000211,81
10000212,82
10000213,84
10000214,89
10000215,80
10000216,82
10000217,74
10000218,72
10000219,79
10000220,83
10000221,79
10000222,89
10000223,78
10000224,80
10000225,78
10000226,75
10000227,77
10000228,84
10000229,84
10000230,73
10000231,76
10000232,88
10000233,87
10000234,65
10000235,89
10000236,83
10000237,81
10000238,75
10000239,94
10000240,73
10000241,91
10000242,81
10000243,81
10000244,76
10000245,90
10000246,81
10000247,84
10000248,77
10000249,87
10000250,80
10000251,87
10000252,94
10000253,87
10000254,84
10000255,88
10000256,90
10000257,85
10000258,76
10000259,95
10000260,80
10000261,77
10000262,81
10000263,78
10000264,81
10000265,84
10000266,84
10000267,83
10000268,96
10000269,85
10000270,96
10000271,87
10000272,73
10000273,86
10000274,75
10000275,87
10000276,85
10000277,92
10000278,85
10000279,76
10000280,91
10000281,78
10000282,75
10000283,79
10000284,80
10000285,85
10000286,80
10000287,81
10000288,89
10000289,70
10000290,91
10000291,82
10000292,81
10000293,76
10000294,88
10000295,77
10000296,79
10000297,69
10000298,80
10000299,79
10000300,96
10000301,84
10000302,79
10000303,68
10000304,76
10000305,92
10000306,76
10000307,72
10000308,83
10000309,80
10000310,79
10000311,77
10000312,75
10000313,88
10000314,78
10000315,83
10000316,87
10000317,73
10000318,84
10000319,85
10000320,89
10000321,84
10000322,77
10000323,81
10000324,79
10000325,74
10000326,88
10000327,88
10000328,75
10000329,87
10000330,80
10000331,85
10000332,78
10000333,65
10000334,81
10000335,88
10000336,81
10000337,90
10000338,81
10000339,89
10000340,81
10000341,82
10000342,71
10000343,81
10000344,77
10000345,86
10000346,60
10000347,76
10000348,85
10000349,81
10000350,76
10000351,86
10000352,84
10000353,69
10000354,87
10000355,77
10000356,90
10000357,88
10000358,94
10000359,77
10000360,81
10000361,85
10000362,79
10000363,78
10000364,70
10000365,88
10000366,81
10000367,83
10000368,68
10000369,84
10000370,77
10000371,85
10000372,71
10000373,72
10000374,80
10000375,84
10000376,86
10000377,81
10000378,87
10000379,82
10000380,91
10000381,84
10000382,68
10000383,78
10000384,78
10000385,82
10000386,76
10000387,92
10000388,83
10000389,88
10000390,84
10000391,76
10000392,76
10000393,80
10000394,75
10000395,84
10000396,82
10000397,74
10000398,76
10000399,81
10000400,71
10000401,79
10000402,80
10000403,85
10000404,70
10000405,84
10000406,79
10000407,81
10000408,80
10000409,77
10000410,73
10000411,86
10000412,79
10000413,74
10000414,83
10000415,99
10000416,86
10000417,84
10000418,77
10000419,93
10000420,90
10000421,73
10000422,74
10000423,73
10000424,87
10000425,78
10000426,77
10000427,81
10000428,91
10000429,71
10000430,75
10000431,70
10000432,85
10000433,90
10000434,86
10000435,81
10000436,76
10000437,94
10000438,92
10000439,76
10000440,74
10000441,82
10000442,75
10000443,79
10000444,73
10000445,96
10000446,81
10000447,68
10000448,77
10000449,75
10000450,81
10000451,83
10000452,74
10000453,77
10000454,86
10000455,82
10000456,94
10000457,80
10000458,78
10000459,84
10000460,82
10000461,66
10000462,69
10000463,78
10000464,75
10000465,76
10000466,78
10000467,79
10000468,75
10000469,96
10000470,85
10000471,89
10000472,75
10000473,90
10000474,92
10000475,79
10000476,88
10000477,82
10000478,80
10000479,77
10000480,100
10000481,79
10000482,88
10000483,73
10000484,82
10000485,82
10000486,82
10000487,86
10000488,92
10000489,79
10000490,73
10000491,85
10000492,86
10000493,81
10000494,92
10000495,75
10000496,73
10000497,72
10000498,75
10000499,86
10000500,68
10000501,82
10000502,80
10000503,90
10000504,80
10000505,73
10000506,75
10000507,91
10000508,94
10000509,77
10000510,75
10000511,74
10000512,77
10000513,77
10000514,79
10000515,80
10000516,84
10000517,87
10000518,77
10000519,72
10000520,86
10000521,87
10000522,79
10000523,73
10000524,77
10000525,84
10000526,85
10000527,84
10000528,73
10000529,81
10000530,85
10000531,89
10000532,93
10000533,78
10000534,75
10000535,93
10000536,91
10000537,88
10000538,90
10000539,92
10000540,93
10000541,76
10000542,66
10000543,73
